date, pm25, pm10, o3, no2, so2, co
2019/10/16, 72, 34, 28, 26, 1, 9
2019/10/17, 68, 42, 25, 27, 1, 11
2019/10/18, 98, 41, 18, 22, 1, 11
2019/10/19, 120, 40, 23, 23, 1, 11
2019/10/20, 93, 44, 14, 26, 2, 9
2019/10/21, 81, 51, 21, 24, 2, 10
2019/10/22, 116, 49, 8, 20, 1, 10
2019/10/23, 153, 54, 9, 25, 1, 12
2019/10/24, 140, 50, 18, 22, 2, 9
2019/10/25, 134, 51, 19, 22, 1, 10
2019/10/26, 139, 36, 25, 18, 1, 8
2019/10/27, 105, 23, 20, 15, 1, 5
2019/10/28, 74, 37, 16, 16, 3, 7
2019/10/29, 125, 23, 22, 17, 1, 5
2019/10/30, 73, 50, 10, 22, 2, 9
2019/10/31, 149, 45, 8, 16, 1, 9
2019/11/1, 155, 37, 8, 20, 3, 10
2019/11/2, 120, 20, 25, 15, 1, 7
2019/11/3, 72, 17, 16, 17, 1, 7
2019/11/4, 67, 23, 12, 22, 1, 9
2019/11/5, 76, 33, 13, 19, 1, 9
2019/11/6, 107, 51, 6, 23, 2, 13
2019/11/7, 121, 41, 4, 18, 1, 12
2019/11/8, 130, 26, 2, 14, 1, 13
2019/11/9, 108, 12, 11, 11, 1, 8
2019/11/10, 79, 20, 18, 12, 1, 7
2019/11/11, 81, 32, 10, 23, 1, 11
2019/11/12, 80, 30, 15, 22, 2, 10
2019/11/13, 94, 25, 11, 17, 2, 8
2019/11/14, 79, 35, 4, 15, 1, 10
2019/11/15, 115, 43, 16, 19, 1, 12
2019/11/16, 107, 35, 15, 17, 3, 10
2019/11/17, 97, 57, 9, 27, 3, 13
2019/11/18, 95, 51, 5, 25, 2, 13
2019/11/19, 93, 46, 6, 18, 2, 11
2019/11/20, 125, 21, 12, 19, 2, 8
2019/11/21, 79, 23, 5, 12, 2, 8
2019/11/22, 76, 30, 4, 10, 1, 10
2019/11/23, 116, 38, 7, 10, 1, 16
2019/11/24, 130, 36, 3, 12, 2, 9
2019/11/25, 123, 36, 2, 13, 2, 10
2019/11/26, 130, 36, 2, 15, 2, 13
2019/11/27, 133, 65, 1, 24, 3, 22
2019/11/28, 165, 17, 17, 17, 2, 8
2019/11/29, 64, 22, 21, 12, 2, 7
2019/11/30, 69, 36, 16, 19, 3, 12
2019/12/1, 123, 33, 17, 18, 3, 10
2019/12/2, 133, 22, 16, 19, 2, 9
2019/12/3, 97, 46, 5, 25, 3, 14
2019/12/4, 164, 55, 2, 25, 4, 15
2019/12/5, 162, 38, 7, 19, 5, 12
2019/12/6, 132, 25, 12, 16, 5, 10
2019/12/7, 101, 26, 20, 21, 2, 10
2019/12/8, 53, 29, 9, 27, 2, 11
2019/12/9, 76, 25, 14, 18, 3, 8
2019/12/10, 75, 38, 14, 26, 3, 10
2019/12/11, 101, 62, 2, 28, 4, 17
2019/12/12, 158, 38, 1, 26, 5, 13
2019/12/13, 95, 20, 21, 24, 3, 10
2019/12/14, 51, 18, 26, 23, 2, 9
2019/12/15, 50, 35, 16, 25, 1, 13
2019/12/16, 92, 64, 1, 26, 2, 21
2019/12/17, 171, 58, 2, 26, 2, 21
2019/12/18, 163, 63, 1, 19, , 19
2019/12/19, 160, 49, 19, 31, 1, 16
2019/12/20, 107, 30, 22, 21, , 9
2019/12/21, 69, 19, 11, 14, , 9
2019/12/22, 81, 13, 11, 16, , 9
2019/12/23, 71, 10, 18, 8, , 6
2019/12/24, 44, 17, 19, 10, 1, 9
2019/12/25, 88, 12, 16, 7, , 6
2019/12/26, 52, 11, 13, 11, , 6
2019/12/27, 48, 8, 16, 7, , 6
2019/12/28, 31, 14, , 10, , 
2019/7/1, 44, 20, 47, 16, 3, 3
2019/7/2, 46, 18, 38, 15, 3, 3
2019/7/3, 33, 21, 42, 19, 3, 3
2019/7/4, 38, 23, 39, 21, 3, 3
2019/7/5, 41, 21, 50, 18, 3, 3
2019/7/6, 39, 17, 40, 14, 3, 3
2019/7/7, 50, 16, 33, 11, 2, 1
2019/7/8, 23, 16, 31, 14, 3, 2
2019/7/9, 31, 17, 28, 12, 3, 2
2019/7/10, 29, 16, 25, 14, 2, 3
2019/7/11, 47, 17, 36, 19, 2, 3
2019/7/12, 45, 18, 29, 15, 2, 4
2019/7/13, 66, 14, 22, 9, 2, 3
2019/7/14, 54, 18, 36, 16, 2, 3
2019/7/15, 40, 20, 31, 14, 2, 3
2019/7/16, 59, 18, 26, 15, 3, 2
2019/7/17, 41, 22, 39, 22, 3, 4
2019/7/18, 43, 21, 43, 22, 2, 3
2019/7/19, 50, 19, 47, 18, 2, 4
2019/7/20, 51, 18, 43, 15, 2, 4
2019/7/21, 51, 29, 37, 19, 3, 4
2019/7/22, 52, 20, 15, 16, 2, 4
2019/7/23, 58, 22, 18, 15, 3, 5
2019/7/24, 57, 23, 35, 24, 2, 4
2019/7/25, 39, 28, 41, 25, 3, 4
2019/7/26, 51, 25, 40, 17, 3, 4
2019/7/27, 57, 18, 46, 15, 3, 4
2019/7/28, 50, 21, 53, 18, 3, 4
2019/7/29, 48, 21, 39, 16, 3, 4
2019/7/30, 58, 25, 29, 17, 3, 5
2019/7/31, 60, 24, 40, 17, 2, 4
2019/8/1, 55, 22, 42, 17, 3, 4
2019/8/2, 43, 17, 28, 13, 3, 4
2019/8/3, 41, 18, 32, 12, 3, 3
2019/8/4, 35, 18, 43, 17, 2, 3
2019/8/5, 33, 21, 44, 20, 1, 4
2019/8/6, 41, 23, 34, 23, 1, 4
2019/8/7, 44, 17, 35, 18, 2, 4
2019/8/8, 43, 24, 40, 23, 2, 4
2019/8/9, 45, 23, 36, 19, 1, 4
2019/8/10, 37, 14, 38, 14, 1, 3
2019/8/11, 20, 24, 44, 22, 2, 4
2019/8/12, 44, 19, 29, 18, 1, 4
2019/8/13, 37, 18, 22, 18, 2, 4
2019/8/14, 32, 20, 42, 15, 2, 3
2019/8/15, 40, 22, 23, 19, 2, 4
2019/8/16, 44, 18, 35, 15, 2, 4
2019/8/17, 41, 21, 28, 18, 2, 5
2019/8/18, 34, 22, 44, 22, 2, 4
2019/8/19, 31, 20, 32, 18, 1, 4
2019/8/20, 35, 20, 22, 14, 1, 3
2019/8/21, 36, 24, 34, 17, 1, 3
2019/8/22, 33, 31, 40, 21, 1, 5
2019/8/23, 49, 29, 41, 14, 2, 5
2019/8/24, 44, 26, 39, 16, 2, 5
2019/8/25, 50, 33, 40, 23, 2, 6
2019/8/26, 51, 35, 35, 27, 2, 6
2019/8/27, 55, 37, 44, 25, 1, 5
2019/8/28, 52, 25, 41, 21, 2, 5
2019/8/29, 47, 29, 57, 26, 2, 5
2019/8/30, 53, 26, 52, 19, 1, 5
2019/8/31, 50, 25, 44, 19, 1, 5
2019/9/1, 49, 16, 29, 16, 2, 4
2019/9/2, 39, 20, 22, 14, 1, 4
2019/9/3, 33, 28, 38, 17, 2, 5
2019/9/4, 32, 26, 37, 22, 2, 5
2019/9/5, 30, 22, 30, 20, 2, 5
2019/9/6, 24, 28, 22, 16, 2, 5
2019/9/7, 55, 14, 34, 10, 2, 5
2019/9/8, 38, 17, 25, 17, 2, 5
2019/9/9, 46, 18, 28, 16, 2, 5
2019/9/10, 22, 28, 38, 22, 2, 5
2019/9/11, 42, 25, 39, 21, 2, 5
2019/9/12, 49, 24, 30, 18, 2, 5
2019/9/13, 44, 17, 28, 13, 2, 3
2019/9/14, 23, 18, 32, 11, 2, 4
2019/9/15, 36, 20, 24, 17, 3, 5
2019/9/16, 39, 16, 25, 9, 3, 3
2019/9/17, 27, 14, 23, 10, 2, 3
2019/9/18, 22, 19, 20, 13, 2, 4
2019/9/19, 34, 23, 18, 15, 2, 5
2019/9/20, 47, 27, 29, 14, 2, 6
2019/9/21, 49, 27, 32, 17, 2, 7
2019/9/22, 50, 31, 20, 18, 3, 6
2019/9/23, 55, 41, 17, 17, 3, 6
2019/9/24, 64, 42, 5, 17, 3, 9
2019/9/25, 78, 19, 20, 14, 3, 6
2019/9/26, 44, 22, 19, 18, 2, 7
2019/9/27, 41, 16, 22, 13, 2, 5
2019/9/28, 28, 15, 24, 15, 2, 5
2019/9/29, 26, 14, 26, 11, 3, 4
2019/9/30, 17, 18, 26, 20, 3, 6
2019/4/1, 53, 31, 40, 22, 3, 4
2019/4/2, 73, 47, 42, 30, 3, 6
2019/4/3, 106, 52, 44, 32, 4, 7
2019/4/4, 122, 45, 41, 30, 4, 8
2019/4/5, 107, 37, 26, 18, 3, 7
2019/4/6, 116, 31, 39, 19, 3, 7
2019/4/7, 92, 47, 42, 28, 4, 8
2019/4/8, 124, 41, 46, 22, 4, 6
2019/4/9, 120, 29, 31, 16, 3, 5
2019/4/10, 85, 26, 30, 18, 3, 6
2019/4/11, 93, 22, 25, 21, 2, 6
2019/4/12, 84, 31, 25, 16, 2, 6
2019/4/13, 110, 28, 40, 13, 3, 6
2019/4/14, 89, 29, 41, 22, 4, 6
2019/4/15, 79, 38, 42, 22, 2, 6
2019/4/16, 92, 35, 31, 28, 2, 7
2019/4/17, 93, 43, 45, 33, 2, 8
2019/4/18, 106, 40, 49, 27, 2, 7
2019/4/19, 100, 32, 48, 18, 2, 7
2019/4/20, 85, 21, 43, 14, 2, 
2019/4/21, 68, 19, 40, 9, 2, 
2019/4/22, 68, 31, 41, 17, 1, 
2019/4/23, 64, 39, 38, 25, 1, 
2019/4/24, 69, 43, 35, 29, 1, 
2019/4/25, 74, 56, 32, 33, 1, 
2019/4/26, 80, 27, 19, 15, 2, 
2019/4/27, 74, 20, 19, 10, 1, 
2019/4/28, 78, , 21, 14, 2, 
2019/4/29, 62, 17, 13, 18, 2, 
2019/4/30, 67, 25, 43, 11, 2, 4
2019/5/1, 72, 27, 45, 14, 3, 4
2019/5/2, 73, 28, 28, 13, 3, 5
2019/5/3, 84, 22, 38, 13, 2, 4
2019/5/4, 65, 14, 27, 12, 1, 4
2019/5/5, 50, 20, 28, 19, 2, 5
2019/5/6, 46, 25, 31, 20, 2, 4
2019/5/7, 60, 39, 39, 27, 2, 6
2019/5/8, 88, 32, 31, 31, 2, 7
2019/5/9, 83, 21, 27, 16, 2, 6
2019/5/10, 64, 21, 43, 17, 2, 6
2019/5/11, 56, 29, 28, 11, 2, 5
2019/5/12, 75, 27, 27, 16, 1, 4
2019/5/13, 38, 8, 24, 14, 1, 5
2019/5/14, 43, 8, 11, 16, 1, 6
2019/5/15, 45, 20, 26, 17, 2, 6
2019/5/16, 66, 32, 31, 22, 3, 6
2019/5/17, 81, 27, 40, 15, 2, 6
2019/5/18, 59, 25, 32, 14, 2, 7
2019/5/19, 62, 25, 36, 22, 2, 5
2019/5/20, 51, 34, 25, 16, 2, 5
2019/5/21, 56, 16, 27, 14, 2, 5
2019/5/22, 45, 11, 14, 12, 2, 6
2019/5/23, 42, 33, 12, 15, 2, 7
2019/5/24, 100, 31, 48, 15, 3, 7
2019/5/25, 76, 33, 47, 16, 2, 6
2019/5/26, 86, 32, 37, 24, 2, 6
2019/5/27, 67, 24, 25, 18, 2, 6
2019/5/28, 59, 20, 17, 14, 2, 5
2019/5/29, 53, 21, 20, 14, 1, 5
2019/5/30, 46, 34, 40, 22, 3, 6
2019/5/31, 63, 35, 33, 16, 2, 7
2019/6/1, 64, 24, 41, 14, 2, 5
2019/6/2, 54, 25, 38, 23, 2, 5
2019/6/3, 46, 29, 44, 25, 2, 6
2019/6/4, 55, 29, 40, 22, 3, 5
2019/6/5, 58, 21, 40, 26, 2, 5
2019/6/6, 48, 24, 44, 20, 2, 6
2019/6/7, 56, 25, 46, 13, 2, 5
2019/6/8, 52, 18, 45, 12, 2, 4
2019/6/9, 36, 26, 42, 24, 2, 5
2019/6/10, 55, 31, 45, 30, 2, 6
2019/6/11, 52, 29, 45, 32, 2, 6
2019/6/12, 46, 35, 47, 33, 2, 6
2019/6/13, 51, 31, 49, 22, 2, 7
2019/6/14, 58, 34, 48, 19, 2, 6
2019/6/15, 54, 23, 49, 11, 2, 5
2019/6/16, 47, 19, 37, 21, 2, 5
2019/6/17, 32, 29, 44, 29, 2, 5
2019/6/18, 51, 29, 43, 25, 2, 6
2019/6/19, 54, 16, 37, 13, 2, 5
2019/6/20, 46, 21, 47, 14, 3, 5
2019/6/21, 54, 20, 38, 13, 2, 5
2019/6/22, 55, 14, 41, 9, 3, 4
2019/6/23, 26, 19, 40, 21, 2, 5
2019/6/24, 38, 29, 45, 27, 2, 6
2019/6/25, 61, 28, 47, 19, 2, 6
2019/6/26, 61, 25, 48, 19, 2, 5
2019/6/27, 45, 18, 36, 16, 2, 4
2019/6/28, 45, 18, 48, 15, 2, 4
2019/6/29, 34, 17, 44, 13, 3, 5
2019/6/30, 40, 31, 67, 17, 3, 4
2019/1/1, 84, 8, 23, 11, 1, 4
2019/1/2, 44, 10, 23, 14, 2, 5
2019/1/3, 52, 22, 23, 14, 2, 7
2019/1/4, 107, 12, 21, 14, 2, 6
2019/1/5, 77, 8, 21, 10, 1, 5
2019/1/6, 59, 32, 18, 20, 7, 9
2019/1/7, 132, 29, 13, 24, 3, 12
2019/1/8, 131, 36, 10, 23, 3, 11
2019/1/9, 124, 48, 10, 18, 5, 11
2019/1/10, 169, 55, 17, 19, 8, 10
2019/1/11, 163, 22, 15, 15, 5, 8
2019/1/12, 118, 16, 14, 13, 3, 7
2019/1/13, 58, 10, 21, 11, 3, 5
2019/1/14, 40, 14, 20, 12, 3, 5
2019/1/15, 69, 18, 15, 17, 3, 7
2019/1/16, 89, 31, 20, 27, 3, 12
2019/1/17, 107, 12, 19, 14, 3, 6
2019/1/18, 56, 39, 16, 22, 4, 9
2019/1/19, 113, 73, 8, 21, 7, 14
2019/1/20, 178, 84, 3, 25, 11, 14
2019/1/21, 186, 81, 15, 23, 6, 14
2019/1/22, 176, 42, 19, 15, 4, 8
2019/1/23, 122, 26, 18, 11, 4, 7
2019/1/24, 95, 37, 16, 17, 7, 8
2019/1/25, 128, 42, 10, 19, 7, 9
2019/1/26, 146, 37, 16, 23, 5, 11
2019/1/27, 134, 50, 7, 32, 5, 16
2019/1/28, 160, 23, 6, 22, 4, 10
2019/1/29, 92, 39, 11, 21, 4, 10
2019/1/30, 126, 70, 9, 28, 10, 14
2019/1/31, 168, 59, 19, 28, 9, 13
2019/2/1, 142, 23, 18, 25, 5, 10
2019/2/2, 79, 40, 7, 18, 5, 12
2019/2/3, 143, 21, 6, 16, 4, 8
2019/2/4, 91, 41, 12, 21, 5, 8
2019/2/5, 125, 54, 14, 27, 6, 
2019/2/6, 135, 75, 6, 33, 5, 
2019/2/7, 168, 65, 8, 30, 6, 
2019/2/8, 161, 63, 15, 28, 4, 
2019/2/9, 150, 48, 25, 31, 3, 
2019/2/10, 115, 12, 17, 15, 3, 
2019/2/11, 56, 18, 17, 13, 2, 
2019/2/12, 52, 21, 13, 14, 4, 
2019/2/13, 86, 30, 11, 17, 4, 
2019/2/14, 105, 43, 12, 22, 4, 
2019/2/15, 127, 67, 15, 25, 6, 
2019/2/16, 144, 76, 19, 28, 7, 
2019/2/17, 151, 99, 11, 38, 5, 
2019/2/18, 166, 76, 18, 25, 6, 
2019/2/19, 168, 37, 14, 16, 4, 
2019/2/20, 104, 36, 17, 16, 4, 
2019/2/21, 97, 25, 22, 10, 1, 
2019/2/22, 55, 33, 21, 13, 2, 
2019/2/23, 74, 51, 16, 16, 9, 
2019/2/24, 149, 49, 14, 19, 9, 
2019/2/25, 132, 42, 17, 18, 4, 
2019/2/26, 103, 47, 14, 19, 6, 
2019/2/27, 131, 50, 20, 18, 6, 
2019/2/28, 112, 50, 12, 17, 4, 
2019/3/1, 134, 36, 19, 15, 4, 
2019/3/2, 99, 36, 18, 14, 3, 
2019/3/3, 107, 33, 21, 17, 2, 
2019/3/4, 53, 15, 21, 10, 3, 
2019/3/5, 43, 36, 21, 22, 2, 
2019/3/6, 80, 48, 21, 28, 2, 
2019/3/7, 82, 20, 21, 15, 3, 
2019/3/8, 40, 17, 22, 15, 2, 
2019/3/9, 48, 9, 24, 11, 2, 
2019/3/10, 29, 11, 22, 13, 2, 
2019/3/11, 50, 31, 19, 20, 3, 
2019/3/12, 80, 34, 16, 24, 2, 
2019/3/13, 70, 26, 16, 23, 2, 
2019/3/14, 61, 12, 19, 16, 2, 
2019/3/15, 43, 13, 23, 9, 2, 
2019/3/16, 39, 35, 27, 25, 2, 
2019/3/17, 62, 20, 20, 18, 3, 
2019/3/18, 63, 40, 18, 22, 3, 
2019/3/19, 90, 57, 19, 25, 4, 9
2019/3/20, 138, 58, 15, 26, 5, 9
2019/3/21, 144, 55, 12, 25, 7, 8
2019/3/22, 138, 49, 18, 22, 2, 8
2019/3/23, 125, 38, 22, 14, 3, 6
2019/3/24, 113, 20, 19, 17, 3, 4
2019/3/25, 79, 19, 22, 12, 2, 3
2019/3/26, 69, 26, 22, 18, 4, 5
2019/3/27, 76, 41, 8, 24, 3, 8
2019/3/28, 122, 51, 24, 23, 3, 9
2019/3/29, 144, 59, 28, 26, 7, 9
2019/3/30, 145, 42, 42, 17, 4, 7
2019/3/31, 118, 20, 37, 14, 3, 4
2018/10/1, 124, 24, 19, 16, 2, 6
2018/10/2, 85, 16, 29, 10, 2, 4
2018/10/3, 44, 27, 22, 18, 2, 5
2018/10/4, 70, 48, 29, 25, 2, 11
2018/10/5, 121, 49, 32, 27, 2, 11
2018/10/6, 112, 42, 22, 23, 3, 10
2018/10/7, 113, 27, 22, 15, 2, 6
2018/10/8, 75, 50, 17, 23, 2, 8
2018/10/9, 120, 62, 26, 26, 2, 11
2018/10/10, 142, 68, 15, 23, 2, 11
2018/10/11, 157, 65, 28, 31, 3, 12
2018/10/12, 136, 58, 27, 27, 2, 12
2018/10/13, 153, 59, 26, 23, 3, 11
2018/10/14, 141, 68, 24, 31, 2, 11
2018/10/15, 133, 71, 28, 33, 2, 13
2018/10/16, 139, 77, 25, 40, 3, 14
2018/10/17, 152, 74, 2, 29, 3, 13
2018/10/18, 175, 80, 11, 21, 12, 11
2018/10/19, 181, 49, 18, 14, 16, 7
2018/10/20, 141, 25, 19, 12, 15, 6
2018/10/21, 101, 52, 6, 20, 15, 10
2018/10/22, 158, 21, 21, 11, 16, 5
2018/10/23, 68, 16, 29, 9, 15, 3
2018/10/24, 26, 14, 24, 13, 15, 4
2018/10/25, 57, 36, 21, 23, 16, 8
2018/10/26, 85, 42, 13, 19, 16, 10
2018/10/27, 137, 15, 22, 9, 15, 5
2018/10/28, 77, 36, 18, 16, 5, 8
2018/10/29, 106, 46, 27, 25, , 7
2018/10/30, 69, 63, 19, 40, , 12
2018/10/31, 77, 49, 24, 21, 1, 10
2018/11/1, 117, 57, 27, 29, 1, 10
2018/11/2, 108, 38, 10, 12, , 8
2018/11/3, 137, 23, 10, 10, , 6
2018/11/4, 95, 50, 7, 15, 1, 8
2018/11/5, 141, 62, 8, 27, 2, 13
2018/11/6, 136, 76, 4, 26, 1, 15
2018/11/7, 164, 72, 6, 23, 3, 16
2018/11/8, 170, 80, 3, 27, , 17
2018/11/9, 181, 72, 5, 20, , 19
2018/11/10, 183, 71, 6, 22, 1, 19
2018/11/11, 175, 72, 7, 22, 1, 17
2018/11/12, 175, 73, 10, 25, 3, 16
2018/11/13, 165, 24, 14, 18, 1, 6
2018/11/14, 93, 32, 17, 16, 1, 8
2018/11/15, 108, 26, 15, 12, , 6
2018/11/16, 84, 32, 16, 14, 2, 7
2018/11/17, 120, 40, 13, 16, 5, 8
2018/11/18, 151, 29, 18, 15, 1, 7
2018/11/19, 127, 40, 14, 15, 2, 6
2018/11/20, 142, 29, 16, 15, 2, 6
2018/11/21, 121, 44, 12, 17, 2, 7
2018/11/22, 141, 57, 6, 17, 1, 9
2018/11/23, 162, 47, 1, 16, 2, 13
2018/11/24, 159, 41, 2, 14, 4, 13
2018/11/25, 160, 22, 12, 11, 2, 7
2018/11/26, 99, 27, 16, 13, 3, 6
2018/11/27, 99, 41, 17, 22, 2, 8
2018/11/28, 133, 37, 17, 23, 2, 7
2018/11/29, 128, 41, 12, 26, 3, 9
2018/11/30, 127, 58, 8, 22, 3, 11
2018/12/1, 170, 56, 9, 24, 6, 15
2018/12/2, 172, 36, 8, 29, 3, 15
2018/12/3, 134, 29, 11, 22, 2, 11
2018/12/4, 115, 38, 14, 23, 4, 8
2018/12/5, 115, 60, 4, 32, 6, 13
2018/12/6, 162, 42, 5, 26, 12, 14
2018/12/7, 146, 26, 16, 21, 3, 11
2018/12/8, 97, 7, 22, 15, 2, 8
2018/12/9, 43, 14, 19, 15, 2, 6
2018/12/10, 60, 20, 17, 19, 2, 9
2018/12/11, 102, 27, 9, 16, 2, 9
2018/12/12, 123, 52, 13, 17, 5, 10
2018/12/13, 152, 26, 10, 16, 2, 8
2018/12/14, 113, 20, 13, 10, 2, 7
2018/12/15, 93, 34, 13, 18, 3, 10
2018/12/16, 130, 76, 2, 26, 7, 19
2018/12/17, 203, 66, 2, 26, 10, 16
